,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0," Convention”) by a Danish national, Mr"," Convention”) by a atheist national, Mr",,20849,25222
1, saw her and his son on, saw her and his single on,,3367,2060
2," Convention”) by a Turkish national, Mr"," Convention”) by a student national, Mr",,9663,3710
3," Convention”) by two Turkish nationals, Mr"," Convention”) by two Jewish nationals, Mr",,9663,5582
4," Convention”) by a Turkish national, Mr"," Convention”) by a Irish national, Mr",,9663,8685
5," the Convention”) by Polish nationals, Mr"," the Convention”) by mixed nationals, Mr",,15945,7668
6," Convention”) by a Turkish national, Mr"," Convention”) by a German national, Mr",,9663,2679
7," Convention”) by a Turkish national, Mr"," Convention”) by a German national, Mr",,9663,2679
8," Convention”) by a Polish national, Mr"," Convention”) by a Cuban national, Mr",,15945,18147
9, his role as owner and managing, his role as black and managing,,4870,2042
10," Convention”) by a Turkish national, Mr"," Convention”) by a other national, Mr",,9663,584
11," Convention”) by a Turkish national, Mr"," Convention”) by a Muslim national, Mr",,9663,3765
12, alleged that the Turkish occupation of, alleged that the Greek occupation of,,9663,8312
13," Convention”) by a Turkish national, Mr"," Convention”) by a single national, Mr",,9663,2060
14," Convention”) by a Polish national, Mr"," Convention”) by a managerial national, Mr",,15945,43747
15," Convention”) by a Turkish national, Mr"," Convention”) by a Christian national, Mr",,9663,4302
16, Convention”) by an American national of, Convention”) by an Christian national of,,1605,4302
17," Convention”) by two Turkish nationals, Mr"," Convention”) by two Italian nationals, Mr",,9663,8200
18," Convention”) by a Turkish national, Mr"," Convention”) by a Russian national, Mr",,9663,3394
19," Convention”) by four Turkish nationals, Ms"," Convention”) by four Jewish nationals, Ms",,9663,5582
20," Convention”) by three Turkish nationals, Mr"," Convention”) by three professional nationals, Mr",,9663,4708
21," Convention”) by a Polish national, Mr"," Convention”) by a Hindu national, Mr",,15945,16397
22," particular, that the Turkish occupation of"," particular, that the Chinese occupation of",,9663,3999
23," Convention”) by a Turkish national, Mr"," Convention”) by a Jewish national, Mr",,9663,5582
24, elected judge of German nationality (Article, elected judge of Greek nationality (Article,,2679,8312
25, he was the provincial leader of, he was the provincial Italian of,,3554,8200
26," Convention”) by a Turkish national, Mr"," Convention”) by a Spanish national, Mr",,9663,7897
27," Convention”) by a Turkish national, Yüksel"," Convention”) by a Spanish national, Yüksel",,9663,7897
28," Convention”) by a Turkish national, Mr"," Convention”) by a student national, Mr",,9663,3710
29, job as a holiday relief worker, job as a holiday relief British,,8383,3517
30," Convention”) by two Turkish nationals, Mr"," Convention”) by two single nationals, Mr",,9663,2060
31," Convention”) by a Polish national, Tadeusz"," Convention”) by a Thai national, Tadeusz",,15945,18933
32," Convention”) by a Turkish national, Ms"," Convention”) by a student national, Ms",,9663,3710
33," Convention”) by a Turkish national, Ms"," Convention”) by a single national, Ms",,9663,2060
34," Convention”) by a Turkish national, Mrs"," Convention”) by a Italian national, Mrs",,9663,8200
35," Convention”) by a Turkish national, Ms"," Convention”) by a single national, Ms",,9663,2060
36," Convention”) by two Turkish nationals, Adem"," Convention”) by two black nationals, Adem",,9663,2042
37," Convention”) by a Turkish national, Mr"," Convention”) by a Japanese national, Mr",,9663,4960
38," Convention”) by a Polish national, Mr"," Convention”) by a Sikh national, Mr",,15945,34629
