Unnamed: 0,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx,correct_name,incorrect_name
470,"Then, Aaron and Amber were working at the house. Aaron decided to give a drink to","Then, Aaron and Amber were working at the house. Tiffany decided to give a drink to","Then, Aaron and Amber were working at the house. Amber decided to give a drink to",47764,26757,Amber,Aaron
184,"Then, Nathan and Amber were working at the house. Nathan decided to give a necklace to","Then, Nathan and Amber were working at the house. Tyler decided to give a necklace to","Then, Nathan and Amber were working at the house. Amber decided to give a necklace to",47764,37837,Amber,Nathan
636,"Then, Kimberly and Lindsay were thinking about going to the restaurant. Lindsay wanted to give a bone to","Then, Kimberly and Lindsay were thinking about going to the restaurant. Timothy wanted to give a bone to","Then, Kimberly and Lindsay were thinking about going to the restaurant. Kimberly wanted to give a bone to",86753,63884,Kimberly,Lindsay
301,"When Gregory and Richard got a kiss at the station, Richard decided to give it to","When Gregory and Richard got a kiss at the station, Megan decided to give it to","When Gregory and Richard got a kiss at the station, Gregory decided to give it to",44069,12131,Gregory,Richard
961,"Then, Jonathan and Steven had a lot of fun at the school. Jonathan gave a kiss to","Then, Jonathan and Steven had a lot of fun at the school. Emily gave a kiss to","Then, Jonathan and Steven had a lot of fun at the school. Steven gave a kiss to",24565,24150,Steven,Jonathan
414,"Then, Adam and Anthony had a lot of fun at the office. Adam gave a drink to","Then, Adam and Anthony had a lot of fun at the office. Katie gave a drink to","Then, Adam and Anthony had a lot of fun at the office. Anthony gave a drink to",21353,15387,Anthony,Adam
255,"When Tiffany and Gregory got a kiss at the school, Tiffany decided to give it to","When Tiffany and Gregory got a kiss at the school, Michael decided to give it to","When Tiffany and Gregory got a kiss at the school, Gregory decided to give it to",44069,68573,Gregory,Tiffany
781,"When Nicole and Stephanie got a computer at the garden, Nicole decided to give it to","When Nicole and Stephanie got a computer at the garden, Justin decided to give it to","When Nicole and Stephanie got a computer at the garden, Stephanie decided to give it to",49243,45130,Stephanie,Nicole
621,"Then, Richard and Thomas went to the garden. Richard gave a necklace to","Then, Richard and Thomas went to the garden. Rachel gave a necklace to","Then, Richard and Thomas went to the garden. Thomas gave a necklace to",11355,12131,Thomas,Richard
245,"Then, Alexander and Vanessa were working at the house. Vanessa decided to give a drink to","Then, Alexander and Vanessa were working at the house. Christine decided to give a drink to","Then, Alexander and Vanessa were working at the house. Alexander decided to give a drink to",20643,71619,Alexander,Vanessa
188,"Then, Sean and Daniel had a long argument, and afterwards Sean said to","Then, Sean and Daniel had a long argument, and afterwards Samantha said to","Then, Sean and Daniel had a long argument, and afterwards Daniel said to",15469,26044,Daniel,Sean
91,"Then, Kimberly and William were working at the school. William decided to give a bone to","Then, Kimberly and William were working at the school. Bradley decided to give a bone to","Then, Kimberly and William were working at the school. Kimberly decided to give a bone to",86753,12656,Kimberly,William
854,"Then, Aaron and Kenneth had a long argument, and afterwards Aaron said to","Then, Aaron and Kenneth had a long argument, and afterwards Crystal said to","Then, Aaron and Kenneth had a long argument, and afterwards Kenneth said to",49498,26757,Kenneth,Aaron
550,"When Shannon and Scott got a drink at the garden, Shannon decided to give it to","When Shannon and Scott got a drink at the garden, Matthew decided to give it to","When Shannon and Scott got a drink at the garden, Scott decided to give it to",10016,54763,Scott,Shannon
140,"When Nathan and Erin got a necklace at the store, Nathan decided to give it to","When Nathan and Erin got a necklace at the store, Cody decided to give it to","When Nathan and Erin got a necklace at the store, Erin decided to give it to",56914,37837,Erin,Nathan
978,"After Mary and Cody went to the house, Cody gave a computer to","After Mary and Cody went to the house, Sarah gave a computer to","After Mary and Cody went to the house, Mary gave a computer to",10455,58382,Mary,Cody
78,"Then, Allison and Lauren went to the restaurant. Lauren gave a basketball to","Then, Allison and Lauren went to the restaurant. Jonathan gave a basketball to","Then, Allison and Lauren went to the restaurant. Allison gave a basketball to",63508,43460,Allison,Lauren
536,"When James and Samantha got a basketball at the store, Samantha decided to give it to","When James and Samantha got a basketball at the store, Crystal decided to give it to","When James and Samantha got a basketball at the store, James decided to give it to",7957,63908,James,Samantha
821,"After John and Amber went to the store, Amber gave a computer to","After John and Amber went to the store, Christina gave a computer to","After John and Amber went to the store, John gave a computer to",3842,47764,John,Amber
135,"Then, Christopher and Lindsey were thinking about going to the hospital. Christopher wanted to give a snack to","Then, Christopher and Lindsey were thinking about going to the hospital. Katherine wanted to give a snack to","Then, Christopher and Lindsey were thinking about going to the hospital. Lindsey wanted to give a snack to",65379,26035,Lindsey,Christopher
606,"Then, Lisa and Laura went to the restaurant. Lisa gave a kiss to","Then, Lisa and Laura went to the restaurant. Rachel gave a kiss to","Then, Lisa and Laura went to the restaurant. Laura gave a kiss to",30928,29656,Laura,Lisa
698,"After Timothy and Jeremy went to the garden, Jeremy gave a snack to","After Timothy and Jeremy went to the garden, Christina gave a snack to","After Timothy and Jeremy went to the garden, Timothy gave a snack to",45568,28217,Timothy,Jeremy
848,"After Brandon and Courtney went to the hospital, Courtney gave a computer to","After Brandon and Courtney went to the hospital, Jamie gave a computer to","After Brandon and Courtney went to the hospital, Brandon gave a computer to",32866,71782,Brandon,Courtney
988,"Then, Nicole and Megan had a lot of fun at the station. Nicole gave a drink to","Then, Nicole and Megan had a lot of fun at the station. Danielle gave a drink to","Then, Nicole and Megan had a lot of fun at the station. Megan gave a drink to",55629,45130,Megan,Nicole
