,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0," lawyers practising in Les Salles Sur Verdon, France"," lawyers practising in Les Salles Sur Verdon, Australia",,6181,6976
1, into existence in Gaziantep, into existence in Mauritius,,554,3750
2, in the area of Istanbul, in the area of Austria,,41460,21753
3, lawyers practising in Warsaw, lawyers practising in Cambodia,,40431,41984
4, in the area of Ankara, in the area of Honduras,,4595,27356
5, in the area of Ankara, in the area of Saudi Arabia,,4595,20498
6, lawyers practising in Diyarbakır, lawyers practising in Wallis and Futuna,,43159,9821
7, in the territory of Bursa, in the territory of Anguilla,,66,6077
8, lawyers practising in Gdańsk, lawyers practising in New Caledonia,,3319,9409
9," into existence in Komorów, Poland"," into existence in Komorów, Ireland",,16795,11011
10, in the area of Copenhagen, in the area of Pakistan,,40892,13115
11, school teacher incurrently detained in Tarnów, school teacher incurrently detained in Paraguay,,18538,333
12, The court in Łódź, The court in Brunei Darussalam,,120,45321
13, into existence in Marmara District, into existence in Marmara Australia,,4412,6976
14, The court heard evidence in Cyprus, The court heard evidence in Panama,,44637,37783
15, into existence in Izmir, into existence in Liberia,,17001,571
16, school teacher incurrently detained in Siemanowice, school teacher incurrently detained in Burkina Faso,,547,80
17, into existence in Diyarbakır, into existence in Wallis and Futuna,,43159,9821
18, into existence in Geneva Bar, into existence in Geneva India,,4033,5427
19, The court in Istanbul, The court in Guinea,,41460,34410
20, in the territory of Izmir, in the territory of Solomon Islands,,17001,18708
21, school teacher incurrently detained in Bursa, school teacher incurrently detained in United Arab Emirates,,66,47229
22, lawyers practising in Diyarbakır, lawyers practising in Kyrgyz Republic,,43159,4687
23, in the area of Nicosia, in the area of Turkmenistan,,571,7399
24, into existence in Kars, into existence in United Kingdom,,1032,11491
25, in the area of Łódź, in the area of Heard Island and McDonald Islands,,120,18708
26, school teacher incurrently detained in Gdańsk, school teacher incurrently detained in French Southern Territories,,3319,2370
27, into existence in Selm-Bork, into existence in Selm-Singapore,,1064,16861
28, into existence in Ankara, into existence in Gambia,,4595,571
29, school teacher incurrently detained in Łόdź, school teacher incurrently detained in Brunei Darussalam,,120,45321
30, The court heard evidence in İstanbul, The court heard evidence in Tokelau,,36563,1952
31, in the territory of Izmir, in the territory of Gambia,,17001,571
32, lawyers practising in Copenhagen, lawyers practising in Thailand,,40892,23174
33, The court heard evidence in Malatya, The court heard evidence in Rwanda,,5973,7447
34, in the territory of London, in the territory of China,,4693,4135
35, in the area of Nowogród Bobrzański, in the area of Nowogród Timor-Leste,,9327,16300
36," school teacher incurrently detained in Human Rights Building, Strasbourg"," school teacher incurrently detained in Human Rights Building, Burundi",,32620,74
37," in the territory of Wiśniowa, Poland"," in the territory of Wiśniowa, Qatar",,16795,38372
38, into existence in Antakya, into existence in French Guiana,,5973,8960
39, in the area of Istanbul, in the area of Chad,,41460,34884
40, The court in Ostrów Mazowiecka, The court in Ostrów Guinea-Bissau,,66,1952
41, into existence in Istanbul, into existence in Jersey,,41460,8911
42, in the area of Warsaw, in the area of Haiti,,40431,40906
43, The court in Gdańsku, The court in Kyrgyz Republic,,86,4687
44, into existence in Istanbul, into existence in Sudan,,41460,27325
45, The court in Istanbul, The court in Yemen,,41460,27412
46, The court heard evidence in Lublin, The court heard evidence in Mayotte,,21751,32567
47, school teacher incurrently detained in Warsaw, school teacher incurrently detained in Haiti,,40431,40906
48," into existence in Poznań, Poland"," into existence in Poznań, Norway",,16795,20341
49," The court in Dębno, Poland"," The court in Dębno, Cuba",,16795,24605
50, The court heard evidence in Gdynia, The court heard evidence in Suriname,,571,482
51, lawyers practising in İstanbul, lawyers practising in Uruguay,,36563,333
52, The court in Germany, The court in Japan,,6176,4047
53," The court in Białystok, Poland"," The court in Białystok, Yemen",,16795,27412
54, The court in Szczecin, The court in Madagascar,,249,274
55, school teacher incurrently detained in Istanbul, school teacher incurrently detained in Guinea,,41460,34410
56," in the area of Zgierz, Poland"," in the area of Zgierz, Myanmar",,16795,43828
57, school teacher incurrently detained in Zakroczym, school teacher incurrently detained in Northern Mariana Islands,,5228,18708
58," in the area of Częstochowa, Poland"," in the area of Częstochowa, Chad",,16795,34884
59, The court in Szczecin, The court in French Polynesia,,249,571
60," into existence in Kassel, Germany"," into existence in Kassel, France",,6176,6181
61, The court heard evidence in Turkey, The court heard evidence in Norway,,14307,20341
62, The court in Aksaray, The court in French Polynesia,,333,571
63, in the area of Zurich, in the area of Dominica,,469,3737
64, school teacher incurrently detained in Poznań, school teacher incurrently detained in Uzbekistan,,20729,7399
