,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, into existence in Denmark. It covered, into existence in Belarus. It covered,,16490,33368
1, and lives in Bytom.  1. The, and lives in Dominica.  1. The,,39532,3970
2, they lived in Ankara.  On 17, they lived in Colombia.  On 17,,28760,21291
3, lawyer practising in Ankara. The Turkish, lawyer practising in Tanzania. The Turkish,,28760,37270
4," respectively, live in Ankara, Izmir, Istanbul"," respectively, live in Nicaragua, Izmir, Istanbul",,28760,38252
5, lawyers practising in Diyarbakır. The Turkish, lawyers practising in Lao People's Democratic Republic. The Turkish,,81,2066
6," lawyer practising in Komorów, Poland. The"," lawyer practising in Komorów, Chad. The",,12873,19800
7, into existence in Denmark. It related, into existence in Greenland. It related,,16490,30155
8, and lives in Kraków.  1. Criminal, and lives in United States Virgin Islands.  1. Criminal,,86,12010
9, lawyers practising in İstanbul. The Turkish, lawyers practising in Tuvalu. The Turkish,,24179,84
10, lawyer practising in Istanbul. The Turkish, lawyer practising in Finland. The Turkish,,25299,17837
11, northern part of Cyprus had deprived, northern part of Korea had deprived,,27885,4969
12, a bridge in Bornova on 26, a bridge in Saint Martin on 26,,10071,5780
13, and lives in Siemanowice.  On 28, and lives in Liechtenstein.  On 28,,501,5714
14, and lives in Batman.  On 1, and lives in Iran.  On 1,,9827,4068
15," Poncet, of the Geneva Bar, and"," Poncet, of the Geneva Jordan, and",,2409,8078
16, and live in Istanbul. The first, and live in Chile. The first,,25299,17456
17, school teacher in Izmir.  On 30, school teacher in Czech Republic.  On 30,,10793,2066
18, lawyer practising in Diyarbakır. The Turkish, lawyer practising in Saint Kitts and Nevis. The Turkish,,81,271
19," and lives in Bydgoszcz, Poland.  On"," and lives in Bydgoszcz, Qatar.  On",,12873,18286
20, lawyers practising in Nicosia. The Turkish, lawyers practising in French Southern Territories. The Turkish,,544,42354
21," police officers in Kars, on suspicion"," police officers in Palau, on suspicion",,945,559
22," practising in Łódź, Poland. The Polish"," practising in Łódź, Serbia. The Polish",,12873,27229
23, She lives in Selm-Bork.  Her, She lives in Selm-Cuba.  Her,,967,14159
24, lawyer practising in Ankara. The Turkish, lawyer practising in Malaysia. The Turkish,,28760,15336
25, and lives in Gaziantep.  On 14, and lives in Tokelau.  On 14,,538,559
26, lawyer practising in Herning. The second, lawyer practising in Guyana. The second,,768,2271
27," and lives in Szczecin, Poland.  In"," and lives in Szczecin, Senegal.  In",,12873,49657
28," lawyers practising in London, and by"," lawyers practising in France, and by",,3576,4881
29, and lives in Batman.  On 12, and lives in France.  On 12,,9827,4881
30, lawyer practising in Istanbul. The Turkish, lawyer practising in Bahrain. The Turkish,,25299,29066
31, lawyers practising in Istanbul. The Turkish, lawyers practising in Ecuador. The Turkish,,25299,25794
32, and lives in Ostrów Wielkopolski.  A, and lives in Ostrów Lao People's Democratic Republic.  A,,4106,2066
33," and lives in Gliwice, Poland.  A"," and lives in Gliwice, Mali.  A",,12873,29599
34, lawyer practising in Istanbul. The Turkish, lawyer practising in Korea. The Turkish,,25299,4969
35, lawyer practising in Warsaw. The Polish, lawyer practising in Austria. The Polish,,32955,17322
36, and lives in Warsaw.  A. Main, and lives in Chile.  A. Main,,32955,17456
37," lawyer practicing in Istanbul, who was"," lawyer practicing in Bahamas, who was",,25299,45726
38, was deported to Germany where he, was deported to Mexico where he,,4486,5828
39, lawyers practising in Ankara. The Turkish, lawyers practising in Tanzania. The Turkish,,28760,37270
40," and lives in Białystok, Poland.  On"," and lives in Białystok, Oman.  On",,12873,41782
41, lawyer practising in Szczecin. The Polish, lawyer practising in Kyrgyz Republic. The Polish,,259,2066
42, lawyer practising in Istanbul. The Turkish, lawyer practising in Philippines. The Turkish,,25299,13316
43," and live in Zgierz, Poland.  A"," and live in Zgierz, Oman.  A",,12873,41782
44, land located in Zakroczym. The applicant, land located in Pitcairn Islands. The applicant,,4948,12010
45, and lives in Istanbul.  On 15, and lives in Romania.  On 15,,25299,23356
46," and lives in Częstochowa, Poland.  In"," and lives in Częstochowa, Cuba.  In",,12873,14159
47," currently detained in Kassel, Germany.  On"," currently detained in Kassel, Canada.  On",,4486,3340
48, and registered in Turkey (“the applicants, and registered in Mexico (“the applicants,,7137,5828
49, lawyers practising in Istanbul. The Turkish, lawyers practising in Niger. The Turkish,,25299,23731
50, lawyer practising in Zurich. The Swiss, lawyer practising in Somalia. The Swiss,,43412,23918
51, and lives in Ankara.  On 2, and lives in Guatemala.  On 2,,28760,32183
52, and lives in Bobolice.  A. Proceedings, and lives in Montserrat.  A. Proceedings,,501,10366
53, and lives in Gdynia.  A. Disciplinary, and lives in Liechtenstein.  A. Disciplinary,,544,5714
54, and lives in Antalya.  The applicant, and lives in Micronesia.  The applicant,,64,544
55," and lives in Przemyśl, Poland.  A"," and lives in Przemyśl, Iceland.  A",,12873,17333
56," and lives in Piotrków Trybunalski, Poland"," and lives in Piotrków Trybunalski, Liberia",,12873,33208
57," and lives in Bielsko-Biała, Poland"," and lives in Bielsko-Biała, Angola",,12873,48968
58, and lives in Cracow. 1 Civil, and lives in French Guiana. 1 Civil,,322,7484
59, and live in Samsun and Ankara, and live in Czech Republic and Ankara,,19155,2066
60," and lives in Włocławek, Poland.  A"," and lives in Włocławek, Congo.  A",,12873,25935
61," lawyer practising in Słupsk, Poland. The"," lawyer practising in Słupsk, Myanmar. The",,12873,22815
62," was studying in Graz, Austria, but"," was studying in Graz, Denmark, but",,17322,16490
63, November 1999 the İzmir public prosecutor, November 1999 the Guadeloupe public prosecutor,,10793,431
64, lawyer practising in Warsaw. The Polish, lawyer practising in Kenya. The Polish,,32955,21506
65, and live in Diyarbakir. At the, and live in Wallis and Futuna. At the,,343,9613
66, lawyer practising in Chełm. The Polish, lawyer practising in Central African Republic. The Polish,,76,2066
67, and lives in Hallabro.  Since June, and lives in French Southern Territories.  Since June,,305,42354
68, transported to the Bygdoszcz Detention Centre, transported to the Bygdoszcz Detention Korea,,9072,4969
69, and lives in Zabrze.  From 2000, and lives in Guadeloupe.  From 2000,,2736,431
70, The court in Belarus heard evidence, The court in Taiwan heard evidence,,33368,14119
71, and lives in Strzelin.  1. The, and lives in Montserrat.  1. The,,259,10366
72, and lives in Mysłowice.  A. Criminal, and lives in Wallis and Futuna.  A. Criminal,,501,9613
73, lawyer practising in Van. The Turkish, lawyer practising in Israel. The Turkish,,6656,2692
74, to leave for Germany in order, to leave for Australia in order,,4486,4505
75, lawyer practising in Dublin. The Irish, lawyer practising in Jersey. The Irish,,18220,8221
76," and lives in Mikołów, Poland.  A"," and lives in Mikołów, Korea.  A",,12873,4969
77, company incorporated in Turkey in 1991, company incorporated in China in 1991,,7137,2807
78, Rights Project in London. The Turkish, Rights Project in Ireland. The Turkish,,3576,7517
79, and lives in Istanbul.  A. Treatment, and lives in Guam.  A. Treatment,,25299,39282
80, lawyer practising in Warsaw. The Polish, lawyer practising in Bahrain. The Polish,,32955,29066
81, lawyer practising in Istanbul. The Turkish, lawyer practising in Chile. The Turkish,,25299,17456
82, lawyer practising in Katowice. The Polish, lawyer practising in United Arab Emirates. The Polish,,501,24880
83, and live in Istanbul.  A. The, and live in Jersey.  A. The,,25299,8221
84, board of the Izmir Branch of, board of the Montenegro Branch of,,10793,305
85, currently detained in Wołów Prison.  A, currently detained in Wołów Guinea.  A,,16999,22777
86, lawyer practising in Istanbul. The Turkish, lawyer practising in Korea. The Turkish,,25299,4969
87," and lives in Koszalin, Poland.  On"," and lives in Koszalin, Kenya.  On",,12873,21506
88, lawyer practising in Bielsko-Biała. The, lawyer practising in Bielsko-Turkmenistan. The,,64,4103
89, and lives in Cracow.  In a, and lives in Guernsey.  In a,,322,4397
90, he resided at Gothenburg.  The applicant, he resided at French Southern Territories.  The applicant,,7423,42354
91, lawyer practising in Istanbul. The Turkish, lawyer practising in Serbia. The Turkish,,25299,27229
92, solicitor practising in Liverpool. The United, solicitor practising in Canada. The United,,11761,3340
93, and lived in Warsaw. He was, and lived in Taiwan. He was,,32955,14119
94, s arrival in Turkey and the, s arrival in Ukraine and the,,7137,7049
95, February 2002 the Bursa public prosecutor, February 2002 the Central African Republic public prosecutor,,64,2066
96, and lives in Koszalin. He began, and lives in Tokelau. He began,,14414,559
97, a square in Zduńska Wola where, a square in Zduńska El Salvador where,,5708,26482
98, and lives in Kielce.  A. Investigation, and lives in Swaziland.  A. Investigation,,344,40855
99, lawyers practising in Diyarbakır. The Turkish, lawyers practising in Lao People's Democratic Republic. The Turkish,,81,2066
100, wife moved to her parents' house, wife moved to her parents' Germany,,2156,4486
101, lawyers practising in Istanbul. The Turkish, lawyers practising in Latvia. The Turkish,,25299,35794
102, lawyer practising in Istanbul. The Turkish, lawyer practising in Mali. The Turkish,,25299,29599
103, lawyers practising in Istanbul. The Turkish, lawyers practising in Finland. The Turkish,,25299,17837
104, lawyer practising in Kraków. The Polish, lawyer practising in United States of America. The Polish,,86,2253
105, was living in Otlubahçe village at, was living in Otlubahçe Poland at,,7404,12873
106, the Mayor of Warsaw.  On 11, the Mayor of Iceland.  On 11,,32955,17333
107, and living in Warsaw.  On 2, and living in Niger.  On 2,,32955,23731
108, lawyer practising in Istanbul. The Turkish, lawyer practising in Switzerland. The Turkish,,25299,14679
109, of poems in Istanbul entitled “The, of poems in Bahamas entitled “The,,25299,45726
110, a house in Warsaw. Pursuant to, a house in Monaco. Pursuant to,,32955,31630
111, lawyers practising in Nicosia. The Turkish, lawyers practising in Montserrat. The Turkish,,544,10366
112, had gone to Katrancı Bay to, had gone to Katrancı Iran to,,4696,4068
113, and live in İzmir.  A. The, and live in New Caledonia.  A. The,,10793,11339
