,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, by the applicant's representative Bogdan, by the applicant's representative Cristian,,36255,1122
1, by the applicant Tichy, by the applicant Phyllis,,88,285
2, was represented by parents, was represented by Alison,,6699,67463
3, case and advocate Acar, case and advocate Tasha,,277,31543
4, by the applicant's representative Lach, by the applicant's representative Tammy,,613,2465
5, by the respondent Investigation, by the respondent Shannon,,47997,54763
6, by the applicant's representative Pauline, by the applicant's representative Jeffery,,483,727
7, by the respondent Heinrich, by the respondent Stacey,,14172,57020
8, by the applicant Bertagnoli, by the applicant Phyllis,,14559,285
9, the expert Bitgin, the expert Lonnie,,8326,11044
10, by the respondent Bayat, by the respondent Renee,,266,68
11, a court designated by Stanislaw, a court designated by Reginald,,20510,67
12, a court designated by Nicolaides, a court designated by Krista,,3422,64
13, case and advocate Kumenda, case and advocate Monique,,9895,2428
14, by the applicant's representative Poduschka, by the applicant's representative Kaitlyn,,4657,18499
15, a court designated by Madden, a court designated by James,,84683,7957
16, the expert Templeman, the expert Angelica,,1543,3074
17, was represented by Petrén, was represented by Kayla,,10610,4355
18, case and advocate Stubbings, case and advocate Kaitlyn,,826,18499
19, the expert Rudi, the expert Melinda,,21178,17872
20, the expert Roland, the expert Andrea,,58906,41184
21, was represented by Drabble, was represented by Micheal,,73291,278
22, a court designated by Ritter, a court designated by Melinda,,3328,17872
23, a court designated by Németh, a court designated by Kellie,,774,648
24, was represented by Deniz, was represented by Vincent,,118061,35407
25, the expert Woods, the expert Stephanie,,35848,49243
26, by the respondent Austrian, by the respondent Jason,,58069,18984
27, by the applicant's representative Sayar, by the applicant's representative Caitlin,,277,3817
28, case and advocate Bo, case and advocate Nancy,,2577,35336
29, was represented by Naif, was represented by Erika,,333,41554
30, was represented by Nina, was represented by Martha,,64988,51970
31, by the applicant's representative Wallman, by the applicant's representative Abigail,,1543,85306
32, a court designated by Narin, a court designated by Darlene,,258,35291
33, a court designated by Göksel, a court designated by Kaitlyn,,301,18499
34, case and advocate Sawyer, case and advocate Erin,,92219,56914
35, by the applicant's representative Gerns, by the applicant's representative Yvonne,,82,30052
36, the expert Clerides, the expert Janice,,3422,560
37, the expert Mohamud, the expert Yvonne,,664,30052
38, the expert Elbir, the expert Tammy,,44955,2465
39, the expert Fozia, the expert Katelyn,,689,77
40, by the applicant Barras, by the applicant Brittney,,300,3520
41, the expert Herrn, the expert Tammy,,77,2465
42, a court designated by Pax, a court designated by Rachel,,71421,32532
43, a court designated by Welch, a court designated by Nicole,,85263,45130
44, was represented by Bakay, was represented by Johnathan,,352,14308
45, the expert Sampaio, the expert Katelyn,,822,77
46, a court designated by Mateos, a court designated by Christy,,437,88
47, by the applicant Mazón, by the applicant Marissa,,3244,22144
48, case and advocate Dietmar, case and advocate Tammy,,5730,2465
49, by the applicant Reverter, by the applicant Kristy,,8894,88
50, a court designated by Melin, a court designated by Colleen,,258,40762
51, by the applicant Simon, by the applicant Roger,,22021,29607
52, case and advocate Balda, case and advocate Marissa,,3315,22144
