,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0,the expert Catholic,the expert Wesley,,7835,28634
1,by the respondent Nicolaides,by the respondent Jeffery,,1460,1924
2,by the applicant's representative Toğay,by the applicant's representative Darlene,,323,1734
3,a court designated by Janusz,a court designated by Mark,,89,2940
4,was represented by Becerik,was represented by Mark,,1134,2940
5,by the applicant's representative McKone,by the applicant's representative Terri,,505,380
6,was represented by Bîrsan,was represented by Craig,,272,13854
7,the expert Abdullah,the expert Beverly,,26804,30633
8,by the applicant Yeşilyurt,by the applicant Mark,,3325,2940
9,by the applicant Price,by the applicant Kenneth,,7886,23632
10,a court designated by Kingsley,a court designated by Brandy,,1636,10757
11,by the applicant Tichy,by the applicant Colleen,,88,20042
12,by the applicant's representative Professor,by the applicant's representative Robert,,8129,5199
13,case and advocate Hemrå,case and advocate Mariah,,29090,9520
14,a court designated by Manuel,a court designated by Bryan,,25995,17857
15,a court designated by Rydz,a court designated by Joe,,89,5689
16,the expert Dalgetty,the expert Jessica,,774,17352
17,by the respondent Kemal,by the respondent Zachary,,282,560
18,by the respondent Saadi,by the respondent Jonathon,,9189,12938
19,case and advocate Pióro,case and advocate Greg,,305,8547
20,was represented by Quinn,was represented by Kathy,,16109,33726
21,by the respondent Javier,by the respondent Jesse,,44492,18033
22,was represented by Blackett,was represented by Sabrina,,3087,22267
23,by the applicant's representative Orr,by the applicant's representative Ryan,,81,6047
24,case and advocate Whomersley,case and advocate Jorge,,1636,34687
25,by the respondent Tomaszewska,by the respondent Jessica,,4914,17352
26,by the applicant Franz,by the applicant Veronica,,38323,44498
27,case and advocate Lundqvist,case and advocate Jeremy,,396,11753
28,a court designated by Hansen,a court designated by Shawn,,27667,25225
29,case and advocate Fouzia,case and advocate John,,544,1757
30,case and advocate Haaskjold,case and advocate Stephanie,,727,26085
31,case and advocate Kwiek,case and advocate Yolanda,,74,5282
32,a court designated by Cede,a court designated by Caitlin,,18654,2815
33,case and advocate Jabari,case and advocate Jacqueline,,2743,4470
34,by the applicant Aksaç,by the applicant Bradley,,16175,16182
35,the expert Convey,the expert Wanda,,3304,5282
36,a court designated by Commanding,a court designated by Sabrina,,278,22267
37,by the respondent Jefferies,by the respondent Joanne,,10640,21952
38,a court designated by Jeruzal,a court designated by Gabriella,,282,12627
39,by the applicant Luedicke,by the applicant Deborah,,365,36976
40,by the applicant Lorenz,by the applicant Jacqueline,,27305,4470
41,by the applicant's representative Gołek,by the applicant's representative Chloe,,988,29476
42,by the applicant's representative Gachnang,by the applicant's representative Danielle,,648,39808
43,was represented by Stable,was represented by Kendra,,540,430
44,was represented by Goran,was represented by Sherry,,272,563
45,case and advocate Hug,case and advocate Troy,,12905,21439
46,was represented by Stewart,was represented by Steven,,13671,8239
47,by the applicant's representative Noll,by the applicant's representative Kelli,,692,23225
48,case and advocate Steininger,case and advocate Makayla,,263,5031
49,by the applicant Anders,by the applicant Aaron,,25519,12139
50,the expert Kalay,the expert Wanda,,323,5282
51,by the applicant Waleria,by the applicant Nichole,,5142,2305
52,by the respondent Farida,by the respondent Ebony,,3755,1647
53,by the applicant's representative FVM,by the applicant's representative Annette,,15996,48115
54,by the applicant Buhl,by the applicant Thomas,,75,5658
